спрашиваю,jautāju
спрашиваем,jautājam
спрашивал,jautāju
спрашивали,jautājām
спрошу,jautāšu
спросим,jautāsim
спрашиваешь,jautā
спрашиваете,jautājat
спрашивал,jautāji
спросили,jautājāt
спросишь,jautāsi
спросите,jautāsiet,jautāsit
спрашиваешь,jautā
спрашивает,jautā
спрашивал,jautāja
спросит,jautās

знать,zināt
знаю,zinu
знаем,zinām
знал,zināju
знали,zinājām
буду знать,zināšu
узнаем,zināsim
знаешь,zini
знаете,zināt
знаешь,zināji
знают,zinājāt
узнашь,zināsi
узнают,zināsiet,zināsit
